time [s],x [m],y [m],speed [m/s],acceleration [m/s²]
4.47847,0.598804,0.35,0.08,0
4.52632,0.602632,0.35,0.08,0
4.57416,0.606459,0.35,0.08,0
4.62201,0.610287,0.35,0.08,0
4.66986,0.614115,0.35,0.08,0
4.7177,0.617943,0.35,0.08,0
4.76555,0.62177,0.35,0.08,0
4.8134,0.625598,0.35,0.08,0
4.86124,0.629426,0.35,0.08,0
4.90909,0.633254,0.35,0.08,0
4.95694,0.637081,0.35,0.08,0
5.00478,0.640909,0.35,0.08,0
5.05263,0.644737,0.35,0.08,0
5.10048,0.648565,0.35,0.08,0
5.14833,0.652392,0.35,0.08,0
5.19617,0.65622,0.35,0.08,0
5.24402,0.660048,0.35,0.08,0
5.29187,0.663876,0.35,0.08,0
5.33971,0.667703,0.35,0.08,0
5.38756,0.671531,0.35,0.08,0
5.43541,0.675359,0.35,0.08,0
5.48325,0.679187,0.35,0.08,0
5.5311,0.683014,0.35,0.08,0
5.57895,0.686842,0.35,0.08,0
5.62679,0.69067,0.35,0.08,0
5.67464,0.694498,0.35,0.08,0
5.72249,0.698325,0.35,0.08,0
5.77033,0.702153,0.35,0.08,0
5.81818,0.705981,0.35,0.08,0
5.86603,0.709809,0.35,0.08,0
5.91388,0.713636,0.35,0.08,0
5.96172,0.717464,0.35,0.08,0
6.00957,0.721292,0.35,0.08,0
6.05742,0.72512,0.35,0.08,0
6.10526,0.728947,0.35,0.08,0
6.15311,0.732775,0.35,0.08,0
6.20096,0.736603,0.35,0.08,0
6.2488,0.740431,0.35,0.08,0
6.29665,0.744258,0.35,0.08,0
6.3445,0.748086,0.35,0.08,0
6.39234,0.751914,0.35,0.08,0
6.44019,0.755742,0.35,0.08,0
6.48804,0.759569,0.35,0.08,0
6.53589,0.763397,0.35,0.08,0
6.58373,0.767225,0.35,0.08,0
6.63158,0.771053,0.35,0.08,0
6.67943,0.77488,0.35,0.08,0
6.72727,0.778708,0.35,0.08,0
6.77512,0.782536,0.35,0.08,0
6.82297,0.786364,0.35,0.08,0
6.87081,0.790191,0.35,0.08,0
6.91866,0.794019,0.35,0.08,0
6.96651,0.797847,0.35,0.08,0
7.01435,0.801675,0.35,0.08,0
7.0622,0.805502,0.35,0.08,0
7.11005,0.80933,0.35,0.08,0
