Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
End_effector_soft,-4.513E-05,0.029912,0.024862,0,0,0,0.04496,2.7883E-05,-3.0268E-08,4.1966E-08,2.616E-05,8.2218E-08,1.8082E-05,0,0,0,0,0,0,package://eend_eff.SLDASM/meshes/End_effector_soft.STL,1,1,1,0.35,0,0,0,0,0,0,package://eend_eff.SLDASM/meshes/End_effector_soft.STL,,flange-1,Origin_flange,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
End_effector,-1.876E-05,0.029968,-0.0051099,0,0,0,0.12362,9.47E-05,-4.3237E-08,3.8309E-08,7.94E-05,8.2218E-08,5.1691E-05,0,0,0,0,0,0,package://eend_eff.SLDASM/meshes/End_effector.STL,1,1,1,1,0,0,0,0,0,0,package://eend_eff.SLDASM/meshes/End_effector.STL,,end effector-1;flange-1,Origin_flange2,,flange,fixed,0,0,0,0,0,0,End_effector_soft,0,0,0,,,,,,,,,,,,
